Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701713726195	t	campsite_testcue_resort_left	0.0	0	0	3.7885	995.04	687.2	0.9045	3.338	895.968	944.6400000000001	0.665	-0.2382	-0.1919	0.9521	-12.5239	5.4345	-41.1462	0.0	2	1.0	0.0		3476	100	MYKEYWORD 100
1701713726202	t	campsite_testcue_resort_left	0.0	0	0	3.8266	998.2080000000001	680.0	0.9045	3.334	896.112	944.48	0.665	-0.2425	-0.1854	0.9523	-12.3768	5.4458	-41.1367	0.0	2	1.0	0.0		3476	0	0
1701713726211	t	campsite_testcue_resort_left	0.0	0	0	3.6178	992.016	690.08	0.9311	3.3389	895.968	943.52	0.698	-0.2359	-0.1931	0.9524	-11.7461	5.4707	-41.0783	0.0	2	1.0	0.0		3476	0	0
1701713726219	t	campsite_testcue_resort_left	0.0	0	0	3.6456	992.4480000000001	689.12	0.9311	3.3355	896.112	942.56	0.698	-0.237	-0.1898	0.9528	-11.8446	5.4657	-41.0868	0.0	2	1.0	0.0		3476	0	0
1701713726227	t	campsite_testcue_resort_left	0.0	0	0	3.6743	992.016	690.08	0.9365	3.339	895.968	943.36	0.693	-0.2364	-0.1925	0.9524	-12.2262	5.4489	-41.1181	0.0	2	1.0	0.0		3476	0	0
1701713726236	t	campsite_testcue_resort_left	0.0	0	0	3.6925	991.584	689.44	0.9365	3.3429	895.824	943.68	0.693	-0.2356	-0.1926	0.9526	-12.0701	5.4554	-41.105	0.0	2	1.0	0.0		3476	0	0
1701713726244	t	campsite_testcue_resort_left	0.0	0	0	3.675	991.008	689.12	0.9437	3.3391	895.968	943.0400000000001	0.6974	-0.2358	-0.1911	0.9528	-11.9291	5.4622	-41.0932	0.0	2	1.0	0.0		3476	0	0
1701713726252	t	campsite_testcue_resort_left	0.0	0	0	3.693	991.152	688.9599999999999	0.9437	3.3431	896.112	943.68	0.6974	-0.2365	-0.1923	0.9524	-11.9819	5.4605	-41.0972	0.0	2	1.0	0.0		3476	0	0
1701713726261	t	campsite_testcue_resort_left	0.0	0	0	3.678	991.008	688.8	0.9474	3.3541	896.4000000000001	943.36	0.7106	-0.2372	-0.1914	0.9524	-12.1559	5.4535	-41.1109	0.0	2	1.0	0.0		3476	0	0
1701713726269	t	campsite_testcue_resort_left	0.0	0	0	3.6768	990.7199999999999	688.48	0.9474	3.3645	896.256	943.36	0.7106	-0.2366	-0.1915	0.9525	-12.0513	5.459	-41.1019	0.0	2	1.0	0.0		3476	0	0
1701713726278	t	campsite_testcue_resort_left	0.0	0	0	3.678	991.008	688.48	0.9517	3.354	896.256	943.36	0.718	-0.2371	-0.1914	0.9524	-11.8443	5.469	-41.0842	0.0	2	1.0	0.0		3476	0	0
1701713726286	t	campsite_testcue_resort_left	0.0	0	0	3.6766	991.152	688.32	0.9517	3.3434	896.112	943.2	0.718	-0.2371	-0.1911	0.9525	-11.1766	5.4988	-41.0295	0.0	2	1.0	0.0		3476	0	0
1701713726294	t	campsite_testcue_resort_left	0.0	0	0	3.678	991.008	688.32	0.9749	3.3646	896.256	943.2	0.6894	-0.2371	-0.1912	0.9525	-11.1804	5.4994	-41.0293	0.0	2	1.0	0.0		3476	0	0
1701713726302	t	campsite_testcue_resort_left	0.0	0	0	3.6764	991.008	688.16	0.9749	3.3647	896.112	943.2	0.6894	-0.237	-0.1911	0.9525	-11.1421	5.5007	-41.0257	0.0	2	1.0	0.0		3476	0	0
1701713726311	t	campsite_testcue_resort_left	0.0	0	0	3.6781	991.008	688.32	0.9736	3.3537	896.256	943.2	0.6927	-0.2385	-0.1912	0.9521	-11.0481	5.5043	-41.0155	0.0	2	1.0	0.0		3476	0	0
1701713726319	t	campsite_testcue_resort_left	0.0	0	0	3.682	991.008	688.16	0.9736	3.3656	896.4000000000001	942.8800000000001	0.6927	-0.2386	-0.1905	0.9522	-10.9237	5.5096	-41.0049	0.0	2	1.0	0.0		3476	0	0
1701713726328	t	campsite_testcue_resort_left	0.0	0	0	3.6858	991.008	688.16	1.0	3.3825	896.4000000000001	942.8800000000001	0.7167	-0.2386	-0.1904	0.9522	-10.7145	5.5186	-40.9875	0.0	2	1.0	0.0		3476	0	0
